participant_ID,response,text_stimuli,eng_v,idn_v,n,response_ID,groups
8882342,Give 2.jpg,Provide = Memberi,Provide,Memberi,1,E2,E
8882342,Give 3.jpg,Give = Memberi,Give,Memberi,1,E3,E
8882342,Give 3.jpg,Grant = Memberi,Grant,Memberi,1,E3,E
8882342,Give 3.jpg,Present = Memberi,Present,Memberi,1,E3,E
8882342,Make 1.jpg,Design = Membuat,Design,Membuat,1,B1,B
8882342,Make 1.jpg,Manufacture = Membuat,Manufacture,Membuat,1,B1,B
8882342,Make 2.jpg,Construct = Membuat,Construct,Membuat,1,B2,B
8882342,Make 2.jpg,Create = Membuat,Create,Membuat,1,B2,B
8882342,Make 2.jpg,Produce = Membuat,Produce,Membuat,1,B2,B
8882342,Make 3.jpg,Establish = Membuat,Establish,Membuat,1,B3,B
8882342,Make 4.jpg,Make = Membuat,Make,Membuat,1,B4,B
8882342,Take 1.jpeg,Fetch = Mengambil,Fetch,Mengambil,1,A1,A
8882342,Take 1.jpeg,Gather = Mengambil,Gather,Mengambil,1,A1,A
8882342,Take 2.jpeg,Collect = Mengambil,Collect,Mengambil,1,A2,A
8882342,Take 3.jpg,Hoard = Mengambil,Hoard,Mengambil,1,A3,A
8882342,Take 4.jpg,Bring = Mengambil,Bring,Mengambil,1,A4,A
8882342,Take 4.jpg,Seize = Mengambil,Seize,Mengambil,1,A4,A
8882342,Take 4.jpg,Take = Mengambil,Take,Mengambil,1,A4,A
8882351,Find 2.jpg,Find = Mencari,Find,Mencari,1,C2,C
8882351,Find 2.jpg,Rummage = Mencari,Rummage,Mencari,1,C2,C
8882351,Find 3.jpg,Locate = Mencari,Locate,Mencari,1,C3,C
8882351,Find 3.jpg,Search = Mencari,Search,Mencari,1,C3,C
8882351,Find 4.jpg,Discover = Mencari,Discover,Mencari,1,C4,C
8882351,Find 4.jpg,Explore = Mencari,Explore,Mencari,1,C4,C
8882351,Find 4.jpg,Investigate = Mencari,Investigate,Mencari,1,C4,C
8882351,Get 1.jpg,Gain = Mendapatkan,Gain,Mendapatkan,1,D1,D
8882351,Get 1.jpg,Procure = Mendapatkan,Procure,Mendapatkan,1,D1,D
8882351,Get 1.jpg,Receive = Mendapatkan,Receive,Mendapatkan,1,D1,D
8882351,Get 2.jpg,Earn = Mendapatkan,Earn,Mendapatkan,1,D2,D
